InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
556063,23209,LUNCH BAG DOILEY PATTERN ,2,2011-06-08 14:09:00,1.65,14587.0,United Kingdom
555815,22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,12,2011-06-07 11:47:00,1.25,13089.0,United Kingdom
549976,21577,SAVE THE PLANET COTTON TOTE BAG,6,2011-04-13 14:39:00,2.25,15855.0,United Kingdom
578323,22507,MEMO BOARD RETROSPOT  DESIGN,4,2011-11-23 17:19:00,4.95,15743.0,United Kingdom
578678,23582,VINTAGE DOILY JUMBO BAG RED ,1,2011-11-24 19:59:00,2.08,17841.0,United Kingdom
552265,22747,POPPY'S PLAYHOUSE BATHROOM,2,2011-05-08 11:41:00,2.1,14161.0,United Kingdom
543024,21864,UNION JACK FLAG PASSPORT COVER ,36,2011-02-02 14:39:00,1.69,13777.0,United Kingdom
540473,21207,SKULL AND CROSSBONES  GARLAND ,3,2011-01-07 14:31:00,1.65,17284.0,United Kingdom
547382,21181,PLEASE ONE PERSON METAL SIGN,2,2011-03-22 15:31:00,2.1,15457.0,United Kingdom
556782,21470,FLOWER VINE RAFFIA FOOD COVER,3,2011-06-14 13:04:00,3.75,14871.0,United Kingdom
549993,22963,JAM JAR WITH GREEN LID,24,2011-04-14 08:26:00,0.85,14057.0,United Kingdom
537781,21983,PACK OF 12 BLUE PAISLEY TISSUES ,1,2010-12-08 12:46:00,0.29,17341.0,United Kingdom
542795,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,6,2011-02-01 10:59:00,4.95,18055.0,United Kingdom
579868,23354,6 GIFT TAGS 50'S CHRISTMAS ,24,2011-11-30 16:43:00,0.83,15544.0,United Kingdom
561615,22840,ROUND CAKE TIN VINTAGE RED,4,2011-07-28 12:57:00,7.95,13319.0,United Kingdom
547375,22150,3 STRIPEY MICE FELTCRAFT,6,2011-03-22 14:24:00,1.95,13196.0,United Kingdom
536500,22113,GREY HEART HOT WATER BOTTLE,3,2010-12-01 12:35:00,3.75,17377.0,United Kingdom
565434,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,2,2011-09-04 13:35:00,2.08,12867.0,United Kingdom
566851,22635,CHILDS BREAKFAST SET DOLLY GIRL ,2,2011-09-15 12:16:00,9.95,15573.0,United Kingdom
578078,23176,ABC TREASURE BOOK BOX ,8,2011-11-22 16:24:00,2.25,12586.0,Italy
553402,21379,CAMPHOR WOOD PORTOBELLO MUSHROOM,2,2011-05-16 17:13:00,1.25,17898.0,United Kingdom
574706,21892,TRADITIONAL WOODEN CATCH CUP GAME ,12,2011-11-06 14:06:00,1.25,16790.0,United Kingdom
574839,20802,SMALL GLASS SUNDAE DISH CLEAR,6,2011-11-07 11:40:00,1.65,15493.0,United Kingdom
540357,21209,MULTICOLOUR HONEYCOMB FAN,48,2011-01-06 15:14:00,0.65,13093.0,United Kingdom
563928,85071C,"CHARLIE+LOLA""EXTREMELY BUSY"" SIGN",2,2011-08-21 15:17:00,0.39,17059.0,United Kingdom
573152,21212,PACK OF 72 RETROSPOT CAKE CASES,4,2011-10-27 20:16:00,0.55,17530.0,United Kingdom
566571,23298,SPOTTY BUNTING,6,2011-09-13 12:49:00,4.95,17037.0,United Kingdom
566891,85049A,TRADITIONAL CHRISTMAS RIBBONS,12,2011-09-15 13:51:00,1.25,14894.0,United Kingdom
539653,84692,BOX OF 24 COCKTAIL PARASOLS,10,2010-12-20 16:50:00,0.42,13564.0,United Kingdom
576593,22587,FELTCRAFT HAIRBAND RED AND BLUE,1,2011-11-15 14:48:00,0.85,15720.0,United Kingdom
555383,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,3,2011-06-02 15:13:00,2.95,12517.0,Germany
574740,22191,IVORY DINER WALL CLOCK,6,2011-11-06 16:07:00,8.5,12357.0,Switzerland
570225,35933,PINK STOCKING CHRISTMAS DECORATION,2,2011-10-09 13:15:00,0.38,16595.0,United Kingdom
545340,84997A,CHILDRENS CUTLERY POLKADOT GREEN ,4,2011-03-02 08:41:00,4.15,15416.0,United Kingdom
542646,21466,RED FLOWER CROCHET FOOD COVER,1,2011-01-31 11:42:00,3.75,17220.0,United Kingdom
537350,20975,12 PENCILS SMALL TUBE RED RETROSPOT,24,2010-12-06 12:23:00,0.65,14708.0,United Kingdom
573564,22074,6 RIBBONS SHIMMERING PINKS ,12,2011-10-31 13:58:00,1.65,16127.0,United Kingdom
551560,23073,GEORGIAN TRINKET BOX,12,2011-05-03 10:43:00,11.15,16133.0,United Kingdom
575965,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,12,2011-11-13 12:32:00,0.85,13426.0,United Kingdom
558370,22996,TRAVEL CARD WALLET VINTAGE TICKET,24,2011-06-28 15:44:00,0.42,17750.0,United Kingdom
549291,22967,SET 3 SONG BIRD PAPER EGGS ASSORTED,1,2011-04-07 19:05:00,2.95,16261.0,United Kingdom
581191,90200E,GREEN SWEETHEART BRACELET,3,2011-12-07 16:56:00,4.25,17449.0,United Kingdom
538879,22759,SET OF 3 NOTEBOOKS IN PARCEL,24,2010-12-14 15:50:00,1.65,15392.0,United Kingdom
547520,20750,RED RETROSPOT MINI CASES,2,2011-03-23 14:55:00,7.95,12564.0,France
536945,85227,SET OF 6 3D KIT CARDS FOR KIDS,2,2010-12-03 12:24:00,0.85,14083.0,United Kingdom
548718,21169,YOU'RE CONFUSING ME METAL SIGN ,144,2011-04-04 08:50:00,1.45,14156.0,EIRE
536559,51014L,"FEATHER PEN,LIGHT PINK",12,2010-12-01 14:54:00,0.85,17873.0,United Kingdom
541265,35922,EASTER BUNNY WREATH,1,2011-01-16 16:23:00,4.95,17609.0,United Kingdom
537690,22708,WRAP DOLLY GIRL,25,2010-12-08 10:38:00,0.42,13983.0,United Kingdom
553673,22925,BLUE GIANT GARDEN THERMOMETER,2,2011-05-18 12:46:00,5.95,16814.0,United Kingdom
571039,21704,BAG 250g SWIRLY MARBLES,3,2011-10-13 12:59:00,0.85,16121.0,United Kingdom
568538,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,60,2011-09-27 14:07:00,2.95,15061.0,United Kingdom
540471,21670,BLUE SPOT CERAMIC DRAWER KNOB,12,2011-01-07 14:21:00,1.25,15601.0,United Kingdom
541038,22282,12 EGG HOUSE PAINTED WOOD,1,2011-01-13 12:10:00,12.75,16395.0,United Kingdom
542345,22079,RIBBON REEL HEARTS DESIGN ,1,2011-01-27 11:55:00,1.65,15910.0,United Kingdom
540098,21977,PACK OF 60 PINK PAISLEY CAKE CASES,1,2011-01-04 15:50:00,0.55,16241.0,United Kingdom
567375,22969,HOMEMADE JAM SCENTED CANDLES,12,2011-09-20 09:45:00,1.45,14766.0,United Kingdom
577404,84029E,RED WOOLLY HOTTIE WHITE HEART.,4,2011-11-20 10:16:00,4.25,17243.0,United Kingdom
560688,23309,SET OF 60 I LOVE LONDON CAKE CASES ,11,2011-07-20 11:54:00,0.55,16393.0,United Kingdom
573150,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,3,2011-10-27 20:07:00,1.45,15014.0,United Kingdom
569524,22796,PHOTO FRAME 3 CLASSIC HANGING,1,2011-10-04 14:42:00,9.95,14506.0,United Kingdom
578815,23407,SET OF 2 TRAYS HOME SWEET HOME,2,2011-11-25 13:42:00,9.95,13860.0,United Kingdom
560398,21915,RED  HARMONICA IN BOX ,24,2011-07-18 14:10:00,1.25,12731.0,France
540268,22704,WRAP RED APPLES ,25,2011-01-06 11:25:00,0.42,13458.0,United Kingdom
537204,21817,GLITTER CHRISTMAS TREE,6,2010-12-05 14:45:00,0.85,15555.0,United Kingdom
565648,22812,PACK 3 BOXES CHRISTMAS PANNETONE,3,2011-09-05 16:22:00,1.95,18196.0,United Kingdom
577010,22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,5,2011-11-17 12:11:00,2.89,15506.0,United Kingdom
569521,22950,36 DOILIES VINTAGE CHRISTMAS,1,2011-10-04 14:33:00,1.45,16474.0,United Kingdom
563540,22551,PLASTERS IN TIN SPACEBOY,12,2011-08-17 12:04:00,1.65,12473.0,Germany
541838,22776,SWEETHEART CAKESTAND 3 TIER,3,2011-01-23 10:43:00,9.95,12916.0,United Kingdom
537886,22960,JAM MAKING SET WITH JARS,12,2010-12-09 09:49:00,3.75,15660.0,United Kingdom
563565,21918,SET 12 KIDS COLOUR  CHALK STICKS,4,2011-08-17 14:22:00,0.42,17338.0,United Kingdom
563349,23203,JUMBO BAG VINTAGE DOILY ,5,2011-08-15 13:51:00,2.08,14623.0,United Kingdom
575747,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,6,2011-11-11 10:19:00,2.95,12589.0,France
537224,22829,SWEETHEART WIRE WALL TIDY,2,2010-12-05 16:24:00,9.95,13174.0,United Kingdom
569012,20974,12 PENCILS SMALL TUBE SKULL,24,2011-09-30 08:18:00,0.65,15187.0,United Kingdom
580679,22917,HERB MARKER ROSEMARY,12,2011-12-05 14:49:00,0.65,18198.0,United Kingdom
566737,84665,SQUARE CHERRY BLOSSOM CABINET,4,2011-09-14 14:26:00,5.95,13430.0,United Kingdom
566563,22759,SET OF 3 NOTEBOOKS IN PARCEL,12,2011-09-13 12:22:00,1.65,12909.0,United Kingdom
544943,22120,WELCOME  WOODEN BLOCK LETTERS,6,2011-02-25 10:39:00,9.95,15845.0,United Kingdom
573384,82486,3 DRAWER ANTIQUE WHITE WOOD CABINET,2,2011-10-30 14:19:00,8.95,15478.0,United Kingdom
572933,22573,STAR WOODEN CHRISTMAS DECORATION,12,2011-10-27 10:15:00,0.85,13458.0,United Kingdom
538638,21985,PACK OF 12 HEARTS DESIGN TISSUES ,2,2010-12-13 14:16:00,0.29,17231.0,United Kingdom
565732,23203,JUMBO BAG VINTAGE DOILY ,10,2011-09-06 12:10:00,2.08,17068.0,United Kingdom
565326,21636,MADRAS NOTEBOOK MEDIUM,2,2011-09-02 13:41:00,0.75,16706.0,United Kingdom
544659,22842,BISCUIT TIN VINTAGE RED,1,2011-02-22 13:20:00,6.75,18114.0,United Kingdom
548003,22362,GLASS JAR PEACOCK BATH SALTS,6,2011-03-29 10:39:00,2.95,18044.0,United Kingdom
545234,22768,FAMILY PHOTO FRAME CORNICE,2,2011-03-01 10:26:00,9.95,18075.0,United Kingdom
580531,21232,STRAWBERRY CERAMIC TRINKET POT,24,2011-12-04 15:47:00,1.25,12569.0,Germany
562968,22466,FAIRY TALE COTTAGE NIGHTLIGHT,12,2011-08-11 10:55:00,1.95,14291.0,United Kingdom
559125,23255,CHILDRENS CUTLERY CIRCUS PARADE,4,2011-07-06 12:32:00,4.15,13985.0,United Kingdom
580727,21872,GLAMOROUS  MUG,1,2011-12-05 17:17:00,3.29,14096.0,United Kingdom
554283,22377,BOTTLE BAG RETROSPOT ,5,2011-05-23 14:11:00,2.1,17686.0,United Kingdom
548874,21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,12,2011-04-04 15:18:00,1.25,17716.0,United Kingdom
570601,22963,JAM JAR WITH GREEN LID,24,2011-10-11 12:08:00,0.85,17620.0,United Kingdom
559536,22375,AIRLINE BAG VINTAGE JET SET BROWN,1,2011-07-10 12:17:00,4.25,16283.0,United Kingdom
563565,23168,CLASSIC CAFE SUGAR DISPENSER,3,2011-08-17 14:22:00,1.25,17338.0,United Kingdom
541277,20974,12 PENCILS SMALL TUBE SKULL,10,2011-01-17 11:46:00,0.65,12673.0,Germany
557805,21930,JUMBO STORAGE BAG SKULLS,10,2011-06-23 10:27:00,2.08,17651.0,United Kingdom
575607,23300,GARDENERS KNEELING PAD CUP OF TEA ,5,2011-11-10 12:37:00,3.29,14096.0,United Kingdom
565317,23240,SET OF 4 KNICK KNACK TINS DOILY ,12,2011-09-02 13:00:00,4.15,12921.0,United Kingdom
552779,21155,RED RETROSPOT PEG BAG,6,2011-05-11 12:13:00,2.55,13013.0,United Kingdom
580385,22632,HAND WARMER RED RETROSPOT,3,2011-12-04 10:11:00,2.1,16326.0,United Kingdom
543836,22986,GINGHAM ROSE WRAP,25,2011-02-14 10:52:00,0.42,15236.0,United Kingdom
562046,22943,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,3,2011-08-02 10:34:00,4.95,12378.0,Switzerland
564059,21908,CHOCOLATE THIS WAY METAL SIGN,12,2011-08-22 14:35:00,2.1,15796.0,United Kingdom
568188,22502,PICNIC BASKET WICKER SMALL,1,2011-09-25 14:33:00,2.0,16049.0,United Kingdom
571435,22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,6,2011-10-17 13:23:00,2.89,14211.0,United Kingdom
558707,23120,PACK OF 6 SMALL FRUIT STRAWS,2,2011-07-01 12:58:00,0.42,12748.0,United Kingdom
541855,85062,PEARL CRYSTAL PUMPKIN T-LIGHT HLDR,2,2011-01-23 14:59:00,1.65,13742.0,United Kingdom
563178,23031,DRAWER KNOB CRACKLE GLAZE PINK,6,2011-08-12 14:12:00,1.65,16011.0,United Kingdom
569110,21669,BLUE STRIPE CERAMIC DRAWER KNOB,12,2011-09-30 12:44:00,1.45,17675.0,United Kingdom
577695,21802,CHRISTMAS TREE HEART DECORATION,1,2011-11-21 11:55:00,0.42,15645.0,United Kingdom
552460,22385,JUMBO BAG SPACEBOY DESIGN,10,2011-05-09 14:44:00,2.08,13178.0,United Kingdom
546248,20725,LUNCH BAG RED RETROSPOT,10,2011-03-10 13:46:00,1.65,16477.0,United Kingdom
555719,POST,POSTAGE,5,2011-06-06 15:31:00,18.0,12609.0,Germany
536851,22333,RETROSPOT PARTY BAG + STICKER SET,32,2010-12-03 09:49:00,1.65,12967.0,United Kingdom
538311,22383,LUNCH BAG SUKI  DESIGN ,10,2010-12-10 13:48:00,1.65,12785.0,Portugal
540248,22495,SET OF 2 ROUND TINS CAMEMBERT ,2,2011-01-05 15:57:00,2.95,15034.0,United Kingdom
553044,22554,PLASTERS IN TIN WOODLAND ANIMALS,12,2011-05-13 09:24:00,1.65,12682.0,France
580436,23480,MINI LIGHTS WOODLAND MUSHROOMS,20,2011-12-04 12:17:00,3.75,13318.0,United Kingdom
555947,23004,TRAVEL CARD WALLET PANTRY,24,2011-06-08 10:45:00,0.42,14911.0,EIRE
536861,21328,BALLOONS  WRITING SET ,12,2010-12-03 10:44:00,1.65,12427.0,Germany
571315,23093,SMALL PARISIENNE HEART PHOTO FRAME ,8,2011-10-17 10:47:00,2.49,16542.0,United Kingdom
537034,22431,WATERING CAN BLUE ELEPHANT,24,2010-12-03 17:20:00,1.95,13081.0,United Kingdom
547872,22352,LUNCH BOX WITH CUTLERY RETROSPOT ,1,2011-03-27 14:34:00,2.55,16777.0,United Kingdom
568241,75049L,LARGE CIRCULAR MIRROR MOBILE,96,2011-09-26 12:10:00,0.85,15218.0,United Kingdom
538638,84849B,FAIRY SOAP SOAP HOLDER,1,2010-12-13 14:16:00,1.69,17231.0,United Kingdom
542090,20972,PINK CREAM FELT CRAFT TRINKET BOX ,6,2011-01-25 12:39:00,1.25,15518.0,United Kingdom
541115,22519,CHILDS GARDEN BRUSH PINK,6,2011-01-13 15:34:00,2.1,12578.0,Italy
571883,22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,20,2011-10-19 13:58:00,0.29,14704.0,United Kingdom
575077,23439,HAND WARMER RED LOVE HEART,12,2011-11-08 13:22:00,2.1,15406.0,United Kingdom
558910,22301,COFFEE MUG CAT + BIRD DESIGN,72,2011-07-05 09:16:00,2.1,12989.0,United Kingdom
546846,22966,GINGERBREAD MAN COOKIE CUTTER,1,2011-03-17 12:47:00,1.25,13533.0,United Kingdom
570115,21231,SWEETHEART CERAMIC TRINKET BOX,72,2011-10-07 12:37:00,1.06,13798.0,United Kingdom
573993,23198,PANTRY MAGNETIC  SHOPPING LIST,12,2011-11-02 11:23:00,1.45,16790.0,United Kingdom
564053,23203,JUMBO BAG VINTAGE DOILY ,20,2011-08-22 13:42:00,2.08,14188.0,United Kingdom
551533,20675,BLUE POLKADOT BOWL,2,2011-05-01 14:58:00,1.25,15407.0,United Kingdom
579167,22894,TABLECLOTH RED APPLES DESIGN ,2,2011-11-28 14:06:00,9.95,16800.0,United Kingdom
541797,21715,GIRLS VINTAGE TIN SEASIDE BUCKET,1,2011-01-21 14:04:00,2.55,12970.0,United Kingdom
563213,23295,SET OF 12 MINI LOAF BAKING CASES,6,2011-08-14 12:55:00,0.83,16115.0,United Kingdom
568204,23370,SET 36 COLOURING PENCILS DOILY,16,2011-09-25 15:25:00,1.25,13670.0,United Kingdom
568082,21485,RETROSPOT HEART HOT WATER BOTTLE,24,2011-09-23 14:38:00,4.25,14944.0,United Kingdom
569213,22588,CARD HOLDER GINGHAM HEART,2,2011-10-02 12:11:00,2.89,13782.0,United Kingdom
576599,22489,PACK OF 12 TRADITIONAL CRAYONS,6,2011-11-15 15:06:00,0.42,14544.0,United Kingdom
547488,21745,GAOLERS KEYS DECORATIVE GARDEN ,1,2011-03-23 11:30:00,3.75,13821.0,United Kingdom
552108,21931,JUMBO STORAGE BAG SUKI,1,2011-05-06 11:36:00,2.08,17841.0,United Kingdom
548741,22983,CARD BILLBOARD FONT,12,2011-04-04 12:00:00,0.42,16224.0,United Kingdom
547860,85203,HANGING WOOD AND FELT BUTTERFLY ,5,2011-03-27 12:21:00,0.42,17625.0,United Kingdom
565800,21524,DOORMAT SPOTTY HOME SWEET HOME,2,2011-09-07 10:23:00,8.25,14911.0,EIRE
543529,82486,WOOD S/3 CABINET ANT WHITE FINISH,1,2011-02-09 12:16:00,8.95,18109.0,United Kingdom
567661,85071B,RED CHARLIE+LOLA PERSONAL DOORSIGN,1,2011-09-21 15:06:00,0.39,13959.0,United Kingdom
563854,21988,PACK OF 6 SKULL PAPER PLATES,12,2011-08-19 15:24:00,0.85,12364.0,Belgium
562260,23014,GLASS APOTHECARY BOTTLE ELIXIR,12,2011-08-03 15:38:00,3.45,13408.0,United Kingdom
538146,22502,PICNIC BASKET WICKER SMALL,4,2010-12-09 16:10:00,5.95,15596.0,United Kingdom
558700,10125,MINI FUNKY DESIGN TAPES,3,2011-07-01 12:33:00,0.85,17920.0,United Kingdom
561885,21217,RED RETROSPOT ROUND CAKE TINS,2,2011-07-31 13:13:00,9.95,15532.0,United Kingdom
560279,22427,ENAMEL FLOWER JUG CREAM,3,2011-07-17 15:47:00,5.95,14198.0,United Kingdom
580405,23040,PAPER LANTERN 9 POINT SNOW STAR ,3,2011-12-04 12:02:00,5.75,14720.0,United Kingdom
552185,21155,RED RETROSPOT PEG BAG,6,2011-05-06 13:52:00,2.55,12921.0,United Kingdom
564510,21311,SET/4 BIRD MIRROR MAGNETS ,24,2011-08-25 14:42:00,0.29,14194.0,United Kingdom
564647,23309,SET OF 60 I LOVE LONDON CAKE CASES ,6,2011-08-26 13:56:00,0.55,17920.0,United Kingdom
547715,20998,ROSE DU SUD OVEN GLOVE,6,2011-03-25 08:50:00,2.95,12520.0,Germany
572752,23118,PARISIENNE JEWELLERY DRAWER ,2,2011-10-25 17:22:00,7.5,17449.0,United Kingdom
579692,22467,GUMBALL COAT RACK,6,2011-11-30 14:05:00,2.55,12433.0,Norway
573153,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,96,2011-10-28 07:39:00,2.55,12678.0,France
550477,22413,METAL SIGN TAKE IT OR LEAVE IT ,3,2011-04-18 14:01:00,2.95,17338.0,United Kingdom
544484,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,8,2011-02-21 11:10:00,3.75,15321.0,United Kingdom
575086,22568,FELTCRAFT CUSHION OWL,4,2011-11-08 13:52:00,3.75,16618.0,United Kingdom
575610,22866,HAND WARMER SCOTTY DOG DESIGN,12,2011-11-10 12:45:00,2.1,16628.0,United Kingdom
559672,21899,GARAGE KEY FOB,4,2011-07-11 14:04:00,0.65,14796.0,United Kingdom
575039,23301,GARDENERS KNEELING PAD KEEP CALM ,6,2011-11-08 11:53:00,1.65,15005.0,United Kingdom
569843,21992,VINTAGE PAISLEY STATIONERY SET,1,2011-10-06 13:29:00,1.25,14449.0,United Kingdom
581146,22930,BAKING MOULD HEART MILK CHOCOLATE,3,2011-12-07 13:53:00,2.55,17602.0,United Kingdom
579455,23570,TRADITIONAL PICK UP STICKS GAME ,12,2011-11-29 14:14:00,1.25,15239.0,United Kingdom
574863,47566,PARTY BUNTING,4,2011-11-07 12:29:00,4.95,15719.0,United Kingdom
542526,85188A,GREEN METAL SWINGING BUNNY,10,2011-01-28 12:43:00,0.85,14659.0,United Kingdom
572037,22971,QUEENS GUARD COFFEE MUG,2,2011-10-20 12:07:00,2.55,17365.0,United Kingdom
558565,21034,REX CASH+CARRY JUMBO SHOPPER,2,2011-06-30 13:58:00,0.95,14803.0,United Kingdom
581125,20971,PINK BLUE FELT CRAFT TRINKET BOX,2,2011-12-07 12:41:00,1.25,14087.0,United Kingdom
572865,23194,GYMKHANA TREASURE BOOK BOX,1,2011-10-26 13:01:00,2.25,17841.0,United Kingdom
547789,22763,KEY CABINET MA CAMPAGNE,2,2011-03-25 12:04:00,9.95,14911.0,EIRE
554105,22470,HEART OF WICKER LARGE,2,2011-05-22 14:04:00,2.95,14711.0,United Kingdom
553673,21586,KINGS CHOICE GIANT TUBE MATCHES,3,2011-05-18 12:46:00,2.55,16814.0,United Kingdom
546242,21169,YOU'RE CONFUSING ME METAL SIGN ,2,2011-03-10 13:07:00,1.69,16743.0,United Kingdom
577303,23390,DOLLY GIRL MINI BACKPACK,3,2011-11-18 13:02:00,4.15,14390.0,United Kingdom
564301,23236,STORAGE TIN VINTAGE DOILY ,6,2011-08-24 11:54:00,2.89,14299.0,United Kingdom
553129,23254,CHILDRENS CUTLERY DOLLY GIRL ,1,2011-05-13 12:34:00,4.15,17765.0,United Kingdom
549434,84279B,CHERRY BLOSSOM DECORATIVE FLASK,12,2011-04-08 12:30:00,3.39,12647.0,Germany
568159,22624,IVORY KITCHEN SCALES,2,2011-09-25 12:22:00,8.5,17719.0,United Kingdom
552253,22384,LUNCH BAG PINK POLKADOT,10,2011-05-08 10:20:00,1.65,14201.0,United Kingdom
564187,23346,SPACEBOY BEAKER,2,2011-08-23 15:24:00,1.25,15005.0,United Kingdom
571225,23145,ZINC T-LIGHT HOLDER STAR LARGE,12,2011-10-14 13:41:00,0.95,14397.0,United Kingdom
578627,23199,JUMBO BAG APPLES,10,2011-11-24 15:41:00,2.08,14709.0,United Kingdom
576075,23308,SET OF 60 VINTAGE LEAF CAKE CASES ,6,2011-11-13 16:16:00,0.55,15861.0,United Kingdom
576091,23301,GARDENERS KNEELING PAD KEEP CALM ,12,2011-11-14 09:00:00,1.65,16779.0,United Kingdom
574920,22457,NATURAL SLATE HEART CHALKBOARD ,6,2011-11-07 16:34:00,2.95,13985.0,United Kingdom
542641,22841,ROUND CAKE TIN VINTAGE GREEN,2,2011-01-31 11:25:00,7.95,17314.0,United Kingdom
573311,22535,MAGIC DRAWING SLATE BUNNIES ,2,2011-10-28 16:45:00,0.42,14071.0,United Kingdom
561631,23166,MEDIUM CERAMIC TOP STORAGE JAR,48,2011-07-28 14:27:00,1.04,14911.0,EIRE
570388,21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,12,2011-10-10 12:37:00,1.45,14911.0,EIRE
565224,21918,SET 12 KIDS COLOUR  CHALK STICKS,12,2011-09-01 19:11:00,0.42,14713.0,United Kingdom
569823,23284,DOORMAT KEEP CALM AND COME IN,1,2011-10-06 12:15:00,8.25,16895.0,United Kingdom
549813,15044A,PINK PAPER PARASOL ,2,2011-04-12 12:16:00,2.95,17972.0,United Kingdom
569424,15044D,RED PAPER PARASOL,1,2011-10-04 10:49:00,2.95,15529.0,United Kingdom
575329,23439,HAND WARMER RED LOVE HEART,1,2011-11-09 13:50:00,2.1,17038.0,United Kingdom
569835,22382,LUNCH BAG SPACEBOY DESIGN ,3,2011-10-06 13:05:00,1.65,15518.0,United Kingdom
